$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076223378746681;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A9755DE930BB3B9BC825F6EC744F66C9;6081829821787144398;1496076223368475618;1496076223378686782;a6b9179e06cd;4;4
$1;1496076223381014861;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A9755DE930BB3B9BC825F6EC744F66C9;6081829821787144398;1496076223366274010;1496076223381005800;a6b9179e06cd;3;3
$1;1496076223381073839;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A9755DE930BB3B9BC825F6EC744F66C9;6081829821787144398;1496076223366244518;1496076223381068527;a6b9179e06cd;2;2
$1;1496076223383161326;HTTP_VetsService.GET;A9755DE930BB3B9BC825F6EC744F66C9;6081829821787144398;1496076223365646270;1496076223383125744;a6b9179e06cd;1;1
$1;1496076223595932275;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();3AC38C837F346515D3B5303838BC71C7;6081829821787144405;1496076223585374863;1496076223595918164;a6b9179e06cd;4;4
$1;1496076223598138102;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();3AC38C837F346515D3B5303838BC71C7;6081829821787144405;1496076223583584309;1496076223598092648;a6b9179e06cd;3;3
$1;1496076223598182411;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();3AC38C837F346515D3B5303838BC71C7;6081829821787144405;1496076223583555865;1496076223598176865;a6b9179e06cd;2;2
$1;1496076223600296520;HTTP_VetsService.GET;3AC38C837F346515D3B5303838BC71C7;6081829821787144405;1496076223582820885;1496076223600264464;a6b9179e06cd;1;1
$1;1496076223862586711;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();5F32437C313D8556B6496260832B54A9;6081829821787144412;1496076223852567340;1496076223862568555;a6b9179e06cd;4;4
$1;1496076223865266882;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();5F32437C313D8556B6496260832B54A9;6081829821787144412;1496076223850952543;1496076223865221827;a6b9179e06cd;3;3
$1;1496076223865381274;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();5F32437C313D8556B6496260832B54A9;6081829821787144412;1496076223850886874;1496076223865369212;a6b9179e06cd;2;2
$1;1496076223867631873;HTTP_VetsService.GET;5F32437C313D8556B6496260832B54A9;6081829821787144412;1496076223849526409;1496076223867595616;a6b9179e06cd;1;1
